Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
Judgment of the Court (Fourth Chamber) of 17 November 2015.#RegioPost GmbH & Co. KG v Stadt Landau in der Pfalz.#Reference for a preliminary ruling — Article 56 TFEU — Freedom to provide services — Restrictions — Directive 96/71/EC — Article 3(1) — Directive 2004/18/EC — Article 26 — Public procurement — Postal services — Legislation of a regional entity of a Member State requiring tenderers and their subcontractors to undertake to pay a minimum wage to staff performing the services covered by the public contract.#Case C-115/14.,62014CJ0115_SUM,,,,,,,,11/17/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fifth Chamber) of 12 November 2015.#Valev Visnapuu v Kihlakunnansyyttäjä (Helsinki) and Suomen valtio - Tullihallitus.#Reference for a preliminary ruling — Articles 34 TFEU and 110 TFEU — Directive 94/62/EC — Articles 1(1), 7 and 15 — Distance selling and transport of alcoholic beverages from another Member State — Excise duty on certain beverage packaging — Exemption where packaging is integrated into a deposit and return system — Articles 34 TFEU, 36 TFEU and 37 TFEU — Requirement of a licence for the retail sale of alcoholic beverages — Monopoly on the retail sale of alcoholic beverages — Justification — Protection of health.#Case C-198/14.",62014CJ0198_SUM,,,,,,,,11/12/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fifth Chamber) of 12 November 2015.#Elitaliana SpA v Eulex Kosovo.#Appeal — Public service contracts — Joint Action 2008/124/CFSP — Call for tenders for helicopter support for the Eulex Mission in Kosovo — Action brought against the decision awarding the contract — Article 24(1), second subparagraph, TEU — Article 275, first paragraph, TFEU — Common foreign and security policy (CFSP) — Jurisdiction of the Court — Article 263, first paragraph, TFEU — Meaning of ‘bodies, offices or agencies of the Union’ — Measures attributable to the European Commission — Excusable error.#Case C-439/13 P.",62013CJ0439_SUM,,,,,,,,11/12/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fourth Chamber) of 12 November 2015.#Bronius Jakutis and Kretingalės kooperatinė ŽŪB v Nacionalinė mokėjimo agentūra prie Žemės ūkio ministerijos and Lietuvos valstybė.#Reference for a preliminary ruling — Agriculture — Regulation (EC) No 73/2009 — Articles 7(1), 10(1), 121 and 132(2) — Acts implementing that regulation — Validity, in the light the TFEU Treaty, the 2003 Act of Accession and the principles of non-discrimination, legal certainty, the protection of legitimate expectations and sound administration — Modulation of direct payments granted to farmers — Reduction of the amounts — Level of direct payments applicable in the Member States of the European Community as constituted on 30 April 2004 and in the Member States that joined it on 1 May 2004 — No publication and no statement of reasons.#Case C-103/14.",62014CJ0103_SUM,,,,,,,,11/12/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Second Chamber) of 12 November 2015.#United Kingdom of Great Britain and Northern Ireland v European Parliament and Council of the European Union.#Action for annulment — Regulation (EU) No 1316/2013 establishing the Connecting Europe Facility — Projects of common interest which relate to the territory of a Member State — Approval of that State — Extension of a rail freight corridor — Legal basis — Article 171 TFEU and second paragraph of Article 172 TFEU.#Case C-121/14.,62014CJ0121_SUM,,,,,,,,11/12/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 12 November 2015.#Hewlett-Packard Belgium SPRL v Reprobel SCRL.#Reference for a preliminary ruling — Approximation of laws — Intellectual property — Copyright and related rights — Directive 2001/29/EC — Exclusive reproduction right — Exceptions and limitations — Article 5(2)(a) and (b) — Reprography exception — Private copying exception — Requirement for consistent application of exceptions — Concept of ‘fair compensation’ — Recovery of remuneration as fair compensation for multifunction printers — Proportional remunerative payment — Lump-sum remunerative payment — Accumulation of lump-sum and proportional remunerative payments — Method of calculation — Recipients of fair compensation — Authors and publishers — Sheet music.#Case C-572/13.,62013CJ0572_SUM,,,,,,,,11/12/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Second Chamber) of 12 November 2015.#United Kingdom of Great Britain and Northern Ireland v European Parliament and Council of the European Union.#Action for annulment — Regulation (EU) No 1316/2013 establishing the Connecting Europe Facility — Projects of common interest which relate to the territory of a Member State — Approval of that State — Extension of a rail freight corridor — Legal basis — Article 171 TFEU and second paragraph of Article 172 TFEU.#Case C-121/14.,62014CJ0121,,,,,ECLI:EU:C:2015:749,Transport,,11/12/2015,"Bot, Court of Justice",,Digital reports (Court Reports - general)
Judgment of the Court (Sixth Chamber) of 11 November 2015.#Kathleen Greenfield v The Care Bureau Ltd.#Reference for a preliminary ruling — Social policy — Framework Agreement on part-time work — Organisation of working time — Directive 2003/88/EC — Right to paid annual leave — Calculation of entitlement to leave in the event of an increase in working time — Interpretation of the pro rata temporis principle.#Case C-219/14.,62014CJ0219_SUM,,,,,,,,11/11/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (First Chamber) of 11 November 2015.#Tecom Mican SL and José Arias Domínguez.#Reference for a preliminary ruling — Judicial cooperation in civil matters — Service of judicial and extrajudicial documents — Concept of an ‘extrajudicial document’ — Private documents — Cross-border implications — Functioning of the internal market.#Case C-223/14.,62014CJ0223_SUM,,,,,,,,11/11/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (First Chamber) of 11 November 2015.#Christian Pujante Rivera v Gestora Clubs Dir SL and Fondo de Garantía Salarial.#Reference for a preliminary ruling — Social policy — Collective redundancies — Directive 98/59/EC — Article 1(1)(a), first subparagraph — Concept of workers ‘normally employed’ at the establishment concerned — Article 1(1), second subparagraph — Concepts of ‘redundancy’ and ‘terminations of employment contracts that may be assimilated to redundancies’ — Method of calculating the number of workers made redundant.#Case C-422/14.",62014CJ0422_SUM,,,,,,,,11/11/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Second Chamber) of 11 November 2015.#Klausner Holz Niedersachsen GmbH v Land Nordrhein-Westfalen.#Reference for a preliminary ruling — Articles 107 TFEU and 108 TFEU — State aid — Aid granted in breach of Article 108(3) TFEU — Decision of a Member State court establishing the validity of the contract granting that aid — Res judicata — Interpretation in conformity with EU law — Principle of effectiveness.#Case C-505/14.,62014CJ0505_SUM,,,,,,,,11/11/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Seventh Chamber) of 29 October 2015.#Benjámin Dávid Nagy v Vas Megyei Rendőr-főkapitányság.#Reference for a preliminary ruling — Principle of non-discrimination — Article 18 TFEU — Citizenship of the Union — Article 20 TFEU — Freedom of movement for persons — Article 63 TFEU — Free movement of capital — Road use — Drivers resident in the Member State concerned — Requirement to provide on the spot proof of lawful use of vehicles registered in another Member State at a police check.#Case C-583/14.,62014CJ0583_SUM,,,,,,,,10/29/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Second Chamber) of 29 October 2015.#Freistaat Bayern v Verlag Esterbauer GmbH.#Reference for a preliminary ruling — Legal protection of databases — Directive 96/9/EC — Article 1(2) — Scope — Databases — Topographic maps — Independence of materials constituting a database — Possibility of separating those materials without affecting the value of their informative content — Account taken of the purpose of a topographic map for the user.#Case C-490/14.,62014CJ0490_SUM,,,,,,,,10/29/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (First Chamber) of 29 October 2015.#BBVA SA v Pedro Peñalva López and Others.#Reference for a preliminary ruling — Directive 93/13/EEC — Mortgage loan agreement — Unfair terms — Enforcement proceedings — Opposition — Time limits.#Case C-8/14.,62014CJ0008_SUM,,,,,,,,10/29/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fifth Chamber) of 29 October 2015.#B & S Global Transit Center BV v Staatssecretaris van Financiën.#Reference for a preliminary ruling — Community Customs Code — Regulation (EEC) No 2913/92 — Articles 203 and 204 — External Community transit procedure — Regulation (EEC) No 2454/93 — Articles 365, 366 and 859 — Incurrence of a customs debt — Whether or not goods are unlawfully removed from customs supervision — Non-fulfilment of an obligation — Failure to end the transit procedure — Removal of the goods from the customs territory of the European Union.#Case C-319/14.",62014CJ0319_SUM,,,,,,,,10/29/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (First Chamber) of 29 October 2015.#European Commission v ANKO AE Antiprosopeion, Emporiou kai Viomichanias.#Appeal — Arbitration clause — Seventh Framework Programme for research, technological development and demonstration activities (2007-2013) — Contracts relating to EU financial support granted to the Perform and Oasis projects — Irregularities identified during audits of other projects — Decision of the Commission to suspend reimbursement of the amounts advanced by the recipient — Eligible costs — Distortions of the documents on the file.#Case C-78/14 P.",62014CJ0078_SUM,,,,,,,,10/29/2015,Court of Justice,,Digital reports (Court Reports - general)
